phone,userId
+1555000001,1
+1555000002,2
+1555000003,3
+1555000004,4
+1555000005,5
+1555000006,6
+1555000007,7
+1555000008,8
+1555000009,9
+1555000010,10
+1555000011,11
+1555000012,12
+1555000013,13
+1555000014,14
+1555000015,15
+1555000016,16
+1555000017,17
+1555000018,18
+1555000019,19
+1555000020,20
+1555000021,21
+1555000022,22
+1555000023,23
+1555000024,24
+1555000025,25
+1555000026,26
+1555000027,27
+1555000028,28
+1555000029,29
+1555000030,30
+1555000031,31
+1555000032,32
+1555000033,33
+1555000034,34
+1555000035,35
+1555000036,36
+1555000037,37
+1555000038,38
+1555000039,39
+1555000040,40
+1555000041,41
+1555000042,42
+1555000043,43
+1555000044,44
+1555000045,45
+1555000046,46
+1555000047,47
+1555000048,48
+1555000049,49
+1555000050,50
+1555000051,51
+1555000052,52
+1555000053,53
+1555000054,54
+1555000055,55
+1555000056,56
+1555000057,57
+1555000058,58
+1555000059,59
+1555000060,60
+1555000061,61
+1555000062,62
+1555000063,63
+1555000064,64
+1555000065,65
+1555000066,66
+1555000067,67
+1555000068,68
+1555000069,69
+1555000070,70
+1555000071,71
+1555000072,72
+1555000073,73
+1555000074,74
+1555000075,75
+1555000076,76
+1555000077,77
+1555000078,78
+1555000079,79
+1555000080,80
+1555000081,81
+1555000082,82
+1555000083,83
+1555000084,84
+1555000085,85
+1555000086,86
+1555000087,87
+1555000088,88
+1555000089,89
+1555000090,90
+1555000091,91
+1555000092,92
+1555000093,93
+1555000094,94
+1555000095,95
+1555000096,96
+1555000097,97
+1555000098,98
+1555000099,99
+1555000100,100
